l1_size,l2_size,noc_bw,offchip_bw,dim_num,dim_out,dim_mid,dim_in,p_c,p_k,p_x,p_y,p_r,p_s,o_c_out_0,o_k_out_0,o_x_out_0,o_y_out_0,o_r_out_0,o_s_out_0,o_c_mid_0,o_k_mid_0,o_x_mid_0,o_y_mid_0,o_r_mid_0,o_s_mid_0,o_c_in_0,o_k_in_0,o_x_in_0,o_y_in_0,o_r_in_0,o_s_in_0,t_c_d1_0,t_c_d2_0,t_c_d3_0,t_k_d1_0,t_k_d2_0,t_k_d3_0,t_x_d1_0,t_x_d2_0,t_x_d3_0,t_y_d1_0,t_y_d2_0,t_y_d3_0,o_c_out_1,o_k_out_1,o_x_out_1,o_y_out_1,o_r_out_1,o_s_out_1,o_c_mid_1,o_k_mid_1,o_x_mid_1,o_y_mid_1,o_r_mid_1,o_s_mid_1,o_c_in_1,o_k_in_1,o_x_in_1,o_y_in_1,o_r_in_1,o_s_in_1,t_c_d1_1,t_c_d2_1,t_c_d3_1,t_k_d1_1,t_k_d2_1,t_k_d3_1,t_x_d1_1,t_x_d2_1,t_x_d3_1,t_y_d1_1,t_y_d2_1,t_y_d3_1,latency,energy,area,power,cnt_pes,l1_mem,l2_mem,edp
128.0,1024000.0,3136.0,64.0,3.0,6.0,38.0,34.0,3.0,5.0,4.0,3.0,4.0,1.0,2.0,6.0,3.0,3.0,6.0,4.0,5.0,6.0,1.0,1.0,5.0,3.0,3.0,5.0,6.0,5.0,3.0,6.0,128.0,64.0,1.0,1024.0,256.0,1.0,1.0,1.0,1.0,32.0,16.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,6.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,6.0,5.0,6.0,4.0,1.0,16.0,1.0,1024.0,384.0,1.0,1.0,1.0,1.0,64.0,4.0,1.0,3914052558.0,39231323.0,19706800000.0,124.51644444444443,3136.0,10.0,335872.0,1.5355346014187424e+17
256.0,32000.0,3136.0,64.0,3.0,4.0,12.0,8.0,6.0,3.0,1.0,2.0,3.0,6.0,5.0,3.0,4.0,1.0,2.0,6.0,3.0,6.0,3.0,4.0,5.0,2.0,5.0,6.0,5.0,6.0,6.0,2.0,1.0,4096.0,1.0,1024.0,4.0,1.0,1.0,1.0,1.0,32.0,2.0,1.0,1.0,4.0,2.0,1.0,5.0,3.0,4.0,4.0,3.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,2.0,5.0,256.0,2.0,1.0,1024.0,6.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,1873281383.0,32545064.9,19707600000.0,153.44011111111112,3136.0,10.0,8716288.0,6.096606418569675e+16
128000.0,4096000.0,3136.0,64.0,3.0,24.0,26.0,42.0,1.0,2.0,5.0,6.0,5.0,6.0,1.0,5.0,5.0,2.0,1.0,4.0,6.0,2.0,1.0,2.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,6.0,32.0,2048.0,1.0,16.0,1024.0,1.0,1.0,1.0,1.0,16.0,4.0,1.0,3.0,6.0,5.0,6.0,3.0,1.0,2.0,2.0,6.0,3.0,6.0,2.0,6.0,3.0,5.0,1.0,3.0,3.0,512.0,1.0,1.0,384.0,1536.0,1.0,1.0,1.0,1.0,64.0,320.0,1.0,22282015048.0,32914126.0,19707200000.0,135.94311111111114,3136.0,10.0,4390912.0,7.33393050823768e+17
256000.0,4096000.0,3136.0,64.0,3.0,10.0,6.0,44.0,4.0,4.0,1.0,5.0,4.0,4.0,3.0,2.0,6.0,1.0,3.0,5.0,6.0,2.0,2.0,4.0,6.0,6.0,2.0,3.0,1.0,6.0,2.0,3.0,4.0,128.0,1.0,64.0,4.0,1.0,1.0,1.0,1.0,1.0,32.0,1.0,1.0,5.0,1.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,6.0,2.0,3.0,2.0,4.0,5.0,4.0,128.0,256.0,1.0,256.0,512.0,1.0,1.0,1.0,1.0,160.0,16.0,1.0,174613012.0,33085922.0,19706800000.0,125.22788888888888,3136.0,10.0,753664.0,5777232495217064.0
2048.0,128000.0,3136.0,64.0,3.0,26.0,2.0,8.0,1.0,3.0,1.0,2.0,5.0,3.0,4.0,1.0,6.0,3.0,3.0,3.0,2.0,1.0,4.0,5.0,2.0,3.0,5.0,1.0,5.0,2.0,5.0,2.0,128.0,4.0,1.0,16.0,64.0,1.0,1.0,1.0,1.0,32.0,1.0,1.0,5.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,5.0,6.0,6.0,512.0,1024.0,1.0,6.0,128.0,1.0,1.0,1.0,1.0,1.0,80.0,1.0,11917729764.0,33980077.0,19706800000.0,124.58255555555556,3136.0,10.0,446464.0,4.049653750459118e+17
128.0,16000.0,3136.0,64.0,3.0,40.0,6.0,12.0,6.0,5.0,4.0,6.0,2.0,2.0,4.0,3.0,5.0,4.0,2.0,1.0,5.0,5.0,5.0,2.0,3.0,5.0,1.0,3.0,2.0,3.0,2.0,2.0,1024.0,2.0,1.0,32.0,128.0,1.0,1.0,1.0,1.0,1.0,32.0,1.0,5.0,1.0,4.0,5.0,5.0,3.0,6.0,3.0,5.0,6.0,5.0,3.0,5.0,1.0,4.0,2.0,1.0,1.0,128.0,128.0,1.0,24.0,384.0,1.0,1.0,1.0,1.0,20.0,2.0,1.0,388524180.0,36722737.0,19707100000.0,132.078,3136.0,10.0,3324928.0,1.426767128028066e+16
128000.0,16000000.0,3136.0,64.0,3.0,34.0,42.0,40.0,6.0,3.0,3.0,2.0,2.0,6.0,2.0,1.0,3.0,4.0,4.0,4.0,1.0,1.0,5.0,3.0,5.0,3.0,2.0,2.0,3.0,5.0,1.0,6.0,512.0,2048.0,1.0,1024.0,4.0,1.0,1.0,1.0,1.0,128.0,8.0,1.0,6.0,6.0,5.0,5.0,5.0,1.0,4.0,1.0,3.0,5.0,5.0,6.0,1.0,6.0,5.0,2.0,4.0,3.0,2.0,1.0,1.0,3.0,16.0,1.0,1.0,1.0,1.0,10.0,8.0,1.0,10196618217.0,81128193.8,19707300000.0,131.32144444444444,3136.0,10.0,4980736.0,8.272332188133864e+17
256.0,8192000.0,3136.0,64.0,3.0,16.0,16.0,46.0,5.0,4.0,6.0,3.0,3.0,1.0,6.0,1.0,3.0,2.0,2.0,1.0,6.0,6.0,4.0,1.0,1.0,4.0,2.0,4.0,2.0,4.0,5.0,1.0,16.0,4096.0,1.0,4.0,64.0,1.0,1.0,1.0,1.0,16.0,128.0,1.0,4.0,3.0,1.0,4.0,3.0,2.0,6.0,1.0,4.0,4.0,6.0,4.0,3.0,5.0,4.0,5.0,2.0,6.0,1.0,1024.0,1.0,12.0,4.0,1.0,1.0,1.0,1.0,4.0,20.0,1.0,460670243.0,36869891.8,19706900000.0,126.24655555555556,3136.0,10.0,1589248.0,1.6984862014889706e+16
2048000.0,32000.0,3136.0,64.0,3.0,8.0,2.0,42.0,2.0,5.0,4.0,4.0,5.0,5.0,3.0,6.0,4.0,2.0,2.0,3.0,4.0,1.0,2.0,6.0,2.0,4.0,6.0,4.0,3.0,6.0,1.0,5.0,256.0,2.0,1.0,2.0,512.0,1.0,1.0,1.0,1.0,2.0,32.0,1.0,2.0,6.0,4.0,5.0,2.0,6.0,4.0,3.0,6.0,2.0,6.0,1.0,6.0,5.0,4.0,5.0,6.0,3.0,256.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,16.0,64.0,1.0,22758704338.0,64371440.0,19706800000.0,124.227,3136.0,10.0,311296.0,1.4650105707713068e+18
32000.0,32000000.0,3136.0,64.0,3.0,14.0,30.0,6.0,3.0,1.0,1.0,5.0,4.0,3.0,3.0,2.0,3.0,5.0,1.0,6.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,5.0,512.0,2.0,1.0,64.0,32.0,1.0,1.0,1.0,1.0,64.0,8.0,1.0,5.0,2.0,2.0,3.0,1.0,2.0,6.0,4.0,5.0,6.0,4.0,4.0,2.0,1.0,3.0,5.0,4.0,2.0,4.0,512.0,1.0,2.0,128.0,1.0,1.0,1.0,1.0,40.0,16.0,1.0,1688734130.0,32668026.2,19706800000.0,125.04633333333332,3136.0,10.0,540672.0,5.516761080367421e+16
