l1_size,l2_size,noc_bw,offchip_bw,dim_num,dim_out,dim_mid,dim_in,p_c,p_k,p_x,p_y,p_r,p_s,o_c_out_0,o_k_out_0,o_x_out_0,o_y_out_0,o_r_out_0,o_s_out_0,o_c_mid_0,o_k_mid_0,o_x_mid_0,o_y_mid_0,o_r_mid_0,o_s_mid_0,o_c_in_0,o_k_in_0,o_x_in_0,o_y_in_0,o_r_in_0,o_s_in_0,t_c_d1_0,t_c_d2_0,t_c_d3_0,t_k_d1_0,t_k_d2_0,t_k_d3_0,t_x_d1_0,t_x_d2_0,t_x_d3_0,t_y_d1_0,t_y_d2_0,t_y_d3_0,o_c_out_1,o_k_out_1,o_x_out_1,o_y_out_1,o_r_out_1,o_s_out_1,o_c_mid_1,o_k_mid_1,o_x_mid_1,o_y_mid_1,o_r_mid_1,o_s_mid_1,o_c_in_1,o_k_in_1,o_x_in_1,o_y_in_1,o_r_in_1,o_s_in_1,t_c_d1_1,t_c_d2_1,t_c_d3_1,t_k_d1_1,t_k_d2_1,t_k_d3_1,t_x_d1_1,t_x_d2_1,t_x_d3_1,t_y_d1_1,t_y_d2_1,t_y_d3_1,o_c_out_2,o_k_out_2,o_x_out_2,o_y_out_2,o_r_out_2,o_s_out_2,o_c_mid_2,o_k_mid_2,o_x_mid_2,o_y_mid_2,o_r_mid_2,o_s_mid_2,o_c_in_2,o_k_in_2,o_x_in_2,o_y_in_2,o_r_in_2,o_s_in_2,t_c_d1_2,t_c_d2_2,t_c_d3_2,t_k_d1_2,t_k_d2_2,t_k_d3_2,t_x_d1_2,t_x_d2_2,t_x_d3_2,t_y_d1_2,t_y_d2_2,t_y_d3_2,o_c_out_3,o_k_out_3,o_x_out_3,o_y_out_3,o_r_out_3,o_s_out_3,o_c_mid_3,o_k_mid_3,o_x_mid_3,o_y_mid_3,o_r_mid_3,o_s_mid_3,o_c_in_3,o_k_in_3,o_x_in_3,o_y_in_3,o_r_in_3,o_s_in_3,t_c_d1_3,t_c_d2_3,t_c_d3_3,t_k_d1_3,t_k_d2_3,t_k_d3_3,t_x_d1_3,t_x_d2_3,t_x_d3_3,t_y_d1_3,t_y_d2_3,t_y_d3_3,o_c_out_4,o_k_out_4,o_x_out_4,o_y_out_4,o_r_out_4,o_s_out_4,o_c_mid_4,o_k_mid_4,o_x_mid_4,o_y_mid_4,o_r_mid_4,o_s_mid_4,o_c_in_4,o_k_in_4,o_x_in_4,o_y_in_4,o_r_in_4,o_s_in_4,t_c_d1_4,t_c_d2_4,t_c_d3_4,t_k_d1_4,t_k_d2_4,t_k_d3_4,t_x_d1_4,t_x_d2_4,t_x_d3_4,t_y_d1_4,t_y_d2_4,t_y_d3_4,o_c_out_5,o_k_out_5,o_x_out_5,o_y_out_5,o_r_out_5,o_s_out_5,o_c_mid_5,o_k_mid_5,o_x_mid_5,o_y_mid_5,o_r_mid_5,o_s_mid_5,o_c_in_5,o_k_in_5,o_x_in_5,o_y_in_5,o_r_in_5,o_s_in_5,t_c_d1_5,t_c_d2_5,t_c_d3_5,t_k_d1_5,t_k_d2_5,t_k_d3_5,t_x_d1_5,t_x_d2_5,t_x_d3_5,t_y_d1_5,t_y_d2_5,t_y_d3_5,o_c_out_6,o_k_out_6,o_x_out_6,o_y_out_6,o_r_out_6,o_s_out_6,o_c_mid_6,o_k_mid_6,o_x_mid_6,o_y_mid_6,o_r_mid_6,o_s_mid_6,o_c_in_6,o_k_in_6,o_x_in_6,o_y_in_6,o_r_in_6,o_s_in_6,t_c_d1_6,t_c_d2_6,t_c_d3_6,t_k_d1_6,t_k_d2_6,t_k_d3_6,t_x_d1_6,t_x_d2_6,t_x_d3_6,t_y_d1_6,t_y_d2_6,t_y_d3_6,latency,energy,area,power,cnt_pes,l1_mem,l2_mem,edp,vcnt
32000.0,4096000.0,3136.0,64.0,3.0,34.0,4.0,36.0,2.0,6.0,1.0,6.0,5.0,4.0,3.0,3.0,6.0,4.0,5.0,6.0,5.0,2.0,2.0,4.0,5.0,5.0,4.0,2.0,5.0,1.0,3.0,3.0,1.0,512.0,1.0,768.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,5.0,5.0,6.0,6.0,4.0,6.0,6.0,5.0,3.0,4.0,1.0,6.0,2.0,4.0,2.0,1.0,1.0,32.0,1.0,2.0,64.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,6.0,6.0,1.0,1.0,1.0,5.0,4.0,6.0,2.0,6.0,3.0,2.0,1.0,6.0,64.0,8.0,1.0,128.0,128.0,1.0,8.0,16.0,1.0,1.0,1.0,1.0,6.0,3.0,3.0,1.0,4.0,3.0,3.0,5.0,2.0,3.0,2.0,2.0,4.0,2.0,5.0,5.0,4.0,6.0,8.0,512.0,1.0,1.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,4.0,5.0,6.0,1.0,1.0,6.0,4.0,1.0,5.0,6.0,6.0,4.0,2.0,1.0,4.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,1.0,6.0,3.0,4.0,3.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,3.0,6.0,1.0,2.0,256.0,1.0,512.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,4.0,6.0,4.0,2.0,3.0,2.0,6.0,3.0,4.0,4.0,2.0,6.0,4.0,5.0,3.0,512.0,256.0,1.0,2.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4231236828.0,27435258.92,19707000000.0,125.56796875,3136.0,514.0,1114112.0,1.1608507792801952e+17,28.0
256000.0,1024000.0,3136.0,64.0,3.0,36.0,10.0,26.0,3.0,3.0,4.0,5.0,4.0,5.0,1.0,4.0,5.0,1.0,6.0,6.0,4.0,4.0,3.0,3.0,1.0,4.0,2.0,1.0,2.0,5.0,2.0,1.0,16.0,64.0,1.0,32.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,5.0,1.0,6.0,5.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,4.0,6.0,2.0,4.0,1.0,32.0,1.0,4.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,6.0,1.0,4.0,2.0,4.0,4.0,4.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,8.0,1.0,16.0,1.0,1.0,32.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,6.0,4.0,1.0,2.0,6.0,4.0,6.0,4.0,6.0,2.0,6.0,4.0,3.0,6.0,6.0,5.0,4.0,256.0,1.0,32.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,6.0,5.0,2.0,5.0,4.0,4.0,6.0,5.0,5.0,3.0,2.0,3.0,1.0,5.0,5.0,1.0,8.0,1.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,1.0,2.0,2.0,2.0,6.0,2.0,3.0,4.0,2.0,6.0,6.0,6.0,3.0,4.0,5.0,16.0,1.0,1.0,32.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,3.0,4.0,6.0,4.0,2.0,5.0,5.0,6.0,6.0,2.0,1.0,5.0,4.0,1.0,32.0,1.0,16.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7400055529.0,14454891.5,19706900000.0,125.07925,3136.0,514.0,141312.0,1.069669997656701e+17,26.0
2048.0,32000000.0,3136.0,64.0,3.0,24.0,6.0,10.0,5.0,4.0,1.0,5.0,4.0,5.0,2.0,1.0,3.0,3.0,6.0,6.0,6.0,1.0,5.0,6.0,1.0,2.0,4.0,4.0,5.0,3.0,1.0,2.0,256.0,512.0,1.0,4.0,96.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,6.0,5.0,3.0,1.0,4.0,6.0,5.0,4.0,1.0,6.0,5.0,2.0,3.0,3.0,4.0,4.0,32.0,1.0,4.0,16.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,6.0,1.0,4.0,4.0,6.0,6.0,6.0,4.0,6.0,5.0,6.0,6.0,3.0,3.0,3.0,1.0,6.0,4.0,8.0,1.0,1.0,64.0,16.0,1.0,64.0,2.0,1.0,1.0,1.0,1.0,6.0,4.0,3.0,6.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,1.0,1.0,5.0,2.0,4.0,4.0,5.0,1.0,128.0,1.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,3.0,4.0,2.0,6.0,1.0,6.0,2.0,4.0,5.0,6.0,3.0,1.0,1.0,3.0,128.0,1.0,1.0,128.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,6.0,1.0,2.0,2.0,3.0,5.0,1.0,3.0,6.0,1.0,4.0,4.0,5.0,1.0,1.0,5.0,16.0,2048.0,1.0,256.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,6.0,4.0,3.0,3.0,6.0,4.0,2.0,3.0,6.0,3.0,4.0,1.0,6.0,8.0,64.0,1.0,16.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4805577226.0,11906734.9,19707100000.0,125.65517013888889,3136.0,514.0,1638400.0,5.721873407145939e+16,56.0
4096.0,32000.0,3136.0,64.0,3.0,6.0,6.0,28.0,5.0,4.0,6.0,6.0,3.0,5.0,5.0,6.0,2.0,4.0,6.0,4.0,5.0,6.0,3.0,1.0,1.0,5.0,1.0,5.0,6.0,2.0,3.0,4.0,8.0,16.0,1.0,768.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,5.0,1.0,5.0,2.0,5.0,32.0,4.0,1.0,8.0,128.0,1.0,32.0,16.0,1.0,1.0,1.0,1.0,6.0,3.0,6.0,6.0,1.0,5.0,2.0,6.0,1.0,6.0,5.0,6.0,4.0,4.0,4.0,3.0,5.0,2.0,1.0,8.0,1.0,2.0,1.0,1.0,64.0,8.0,1.0,1.0,1.0,1.0,5.0,6.0,2.0,2.0,4.0,5.0,6.0,4.0,6.0,6.0,4.0,5.0,1.0,3.0,2.0,3.0,3.0,5.0,4.0,512.0,1.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,4.0,4.0,5.0,2.0,1.0,6.0,1.0,4.0,2.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,32.0,4.0,1.0,16.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0,1.0,3.0,1.0,5.0,2.0,2.0,1.0,6.0,6.0,1.0,1.0,5.0,1.0,5.0,1.0,128.0,2048.0,1.0,512.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,4.0,6.0,1.0,1.0,3.0,4.0,3.0,4.0,6.0,5.0,6.0,1.0,5.0,6.0,4.0,2.0,256.0,1.0,1.0,16.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2019802693.0,12593821.68,19707200000.0,125.72430902777778,3136.0,514.0,2752512.0,2.5437034944425784e+16,25.0
512000.0,32000000.0,3136.0,64.0,3.0,32.0,48.0,34.0,2.0,6.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,5.0,5.0,2.0,5.0,1.0,5.0,5.0,5.0,2.0,4.0,2.0,5.0,6.0,3.0,4.0,2.0,4.0,1.0,16.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,6.0,1.0,6.0,2.0,6.0,6.0,3.0,6.0,6.0,4.0,3.0,3.0,1.0,3.0,5.0,32.0,8.0,1.0,128.0,32.0,1.0,4.0,32.0,1.0,1.0,1.0,1.0,5.0,2.0,4.0,5.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,6.0,4.0,3.0,5.0,4.0,4.0,1.0,1.0,1.0,32.0,1.0,4.0,32.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,2.0,3.0,3.0,1.0,5.0,6.0,2.0,1.0,2.0,1.0,3.0,4.0,2.0,4.0,2.0,1.0,16.0,1.0,32.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,4.0,1.0,5.0,6.0,3.0,5.0,6.0,2.0,3.0,5.0,6.0,4.0,1.0,4.0,2.0,1.0,4.0,1.0,1.0,1024.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,5.0,2.0,2.0,6.0,5.0,4.0,3.0,6.0,5.0,1.0,4.0,16.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,5.0,1.0,1.0,1.0,5.0,1.0,4.0,1.0,2.0,5.0,6.0,4.0,5.0,3.0,5.0,128.0,16.0,1.0,32.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2798500483.0,17041272.020000003,19706900000.0,125.10330208333333,3136.0,514.0,271360.0,4.769000797890439e+16,73.0
