Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
MobileNetV2,CONV1,2720,16465,2309.58,73.1384,3.16674e+07,1.65172e+10,106757,21,21.3329,21,1,21,1184,6,1,1,150528,96,5.21404e+11,1204224,3324.66,56.304,4.0848,103372,1204224, 37632, 37632, 150528, 32, 1204224, 96, 96, 96, 12544, 1204224, 1204224, 1605632, 351232, 1, 1, 1, 1, 1, 1, 1, 21, 21, 21, 96, 32
MobileNetV2,Bottleneck1_1_1,2720,32315,11806.7,397.495,3.3667e+07,1.65172e+10,106989,46,46.5,46,1,46,68608,6,1,1,401408,1024,1.08795e+12,12845056,3324.66,56.304,236.698,103372,12845056, 401408, 401408, 401408, 32, 12845056, 11008, 11008, 1024, 1166.88, 12845056, 12845056, 401408, 1505280, 1, 3, 3, 3, 9, 9, 9, 577, 577, 577, 448, 30.8966
MobileNetV2,Bottleneck1_1_2,2720,158437,25196,21.9949,872951,1.65172e+10,107390,3,2.625,3,1,3,54332,54,1,1,401408,288,1.38308e+11,3484800,3324.66,506.736,187.445,103372,3484800, 421788, 421788, 401408, 8.26197, 3484800, 288, 288, 288, 12100, 3484800, 3484800, 387200, 387200, 1, 4, 5, 4, 4, 4, 4, 4951, 4951, 4951, 22, 7.5
MobileNetV2,Bottleneck1_1_3,2720,29315,10290.5,219.087,2.12901e+07,1.65172e+10,106830,14,13.75,14,1,14,22464,6,1,1,401408,512,6.2412e+11,6422528,3324.66,56.304,77.5008,103372,6422528, 401408, 401408, 401408, 16, 6422528, 3328, 3328, 512, 1929.85, 6422528, 6422528, 200704, 301056, 1, 2, 3, 2, 2, 2, 2, 458, 458, 458, 224, 16
MobileNetV2,Bottleneck1_1_Residual,2720,7185,12606.7,27.9338,2.21578e+06,1.65172e+10,107099,27,27.75,27,1,27,100356,6,1,1,200704,16,1.59204e+10,200704,3324.66,56.304,346.228,103372,200704, 188160, 188160, 200704, 1.06667, 200704, 16, 16, 16, 12544, 200704, 200704, 200704, 200704, 1, 8, 9, 8, 8, 8, 8, 897, 897, 897, 28, 1.07683
MobileNetV2,Bottleneck2_1_1,2720,545665,6839.12,35.3103,5.16299e+06,1.65172e+10,106773,2,2.02121,2,1,2,5984,6,1,1,200704,1536,2.81726e+12,19267584,3324.66,56.304,20.6448,103372,19267584, 200704, 200704, 200704, 96, 19267584, 1536, 1536, 1536, 12544, 19267584, 19267584, 1204224, 1103872, 1, 1, 1, 1, 1, 1, 1, 609, 609, 609, 48, 96
MobileNetV2,Bottleneck2_1_2,2720,32835,46430.5,133.146,2.86764e+06,1.65172e+10,107315,117,116.261,117,1,117,32512,54,1,1,1204224,864,9.41588e+10,4371840,3324.66,506.736,112.166,103372,4371840, 2059200, 2059200, 1204224, 2.12308, 4371840, 31968, 31968, 864, 136.757, 4371840, 4371840, 1161600, 575520, 1, 4, 5, 4, 2, 2, 2, 109, 109, 109, 152, 2.07519
MobileNetV2,Bottleneck2_1_3,2720,232472,12365.7,124.322,1.00538e+07,1.65172e+10,107131,2,2,2,1,2,109568,6,1,1,301056,9216,2.33723e+12,28901376,3324.66,56.304,378.01,103372,28901376, 301056, 301056, 301056, 96, 28901376, 8448, 8448, 9216, 3421.09, 28901376, 28901376, 301056, 501760, 1, 6, 8, 6, 10, 10, 10, 14529, 14529, 14529, 126, 96
MobileNetV2,Bottleneck2_2_1,2720,232472,49590.1,124.322,2.50699e+06,1.65172e+10,107131,2,2,2,1,2,109568,6,1,1,301056,9216,5.82806e+11,28901376,3324.66,56.304,378.01,103372,28901376, 301056, 301056, 301056, 96, 28901376, 8448, 8448, 9216, 3421.09, 28901376, 28901376, 301056, 501760, 1, 6, 8, 6, 10, 10, 10, 14529, 14529, 14529, 126, 96
MobileNetV2,Bottleneck2_2_2,2720,157488,48092.6,15.9976,332641,1.65172e+10,107898,2,1.5,2,1,2,201536,54,1,1,301056,864,5.2387e+10,2519424,3324.66,506.736,695.299,103372,2519424, 188384, 188384, 301056, 13.3739, 2519424, 1440, 1440, 864, 1749.6, 2519424, 2519424, 279936, 279936, 1, 9, 18, 10, 15, 15, 15, 26245, 26245, 26245, 16, 15.4376
