Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
MobileNetV2,CONV1,3072,28706,3229.06,41.9503,1.29915e+07,1.92046e+10,121151,13,13.875,13,1,13,34544,6,1,1,150528,96,3.72933e+11,1204224,3754.91,63.5904,119.177,117213,1204224, 202272, 202272, 150528, 5.95349, 1204224, 96, 96, 96, 12544, 1204224, 1204224, 1605632, 401408, 1, 1, 3, 2, 4, 4, 4, 897, 897, 897, 72, 5.33333
MobileNetV2,Bottleneck1_1_1,3072,57411,8606.03,223.739,2.59979e+07,1.92047e+10,125190,13,13,13,1,13,1205248,6,1,1,401408,1024,1.49256e+12,12845056,3754.91,63.5904,4158.11,117213,12845056, 351232, 351232, 401408, 36.5714, 12845056, 1024, 1024, 1024, 12544, 12845056, 12845056, 401408, 802816, 1, 49, 65, 57, 128, 128, 128, 28673, 28673, 28673, 256, 42.522
MobileNetV2,Bottleneck1_1_2,3072,43699,25208.2,79.7455,3.16347e+06,1.92047e+10,127182,9,9,9,1,9,1635136,54,1,1,401408,288,1.3824e+11,3484800,3754.91,572.314,5641.22,117213,3484800, 430080, 430080, 401408, 8.10268, 3484800, 288, 288, 288, 12100, 3484800, 3484800, 387200, 387200, 1, 138, 138, 138, 124, 124, 124, 43561, 43561, 43561, 80, 8.09726
MobileNetV2,Bottleneck1_1_3,3072,102211,9852.15,62.836,6.37789e+06,1.92046e+10,123113,3,3,3,1,3,603136,6,1,1,401408,512,6.51891e+11,6422528,3754.91,63.5904,2080.82,117213,6422528, 401408, 401408, 401408, 16, 6422528, 512, 512, 512, 12544, 6422528, 6422528, 200704, 200704, 1, 64, 65, 64, 32, 32, 32, 51073, 51073, 51073, 64, 16
MobileNetV2,Bottleneck1_1_Residual,3072,6293,12659.3,31.8932,2.51935e+06,1.92046e+10,121725,31,31.5,31,1,31,200736,6,1,1,200704,16,1.58543e+10,200704,3754.91,63.5904,692.539,117213,200704, 200704, 200704, 200704, 1, 200704, 16, 16, 16, 12544, 200704, 200704, 200704, 200704, 1, 16, 17, 16, 16, 16, 16, 1569, 1569, 1569, 32, 1
MobileNetV2,Bottleneck2_1_1,3072,22602,9147.25,852.473,9.31944e+07,1.92046e+10,121260,61,53.2619,61,1,61,66048,6,1,1,200704,1536,2.10638e+12,19267584,3754.91,63.5904,227.866,117213,19267584, 630784, 630784, 200704, 30.5455, 19267584, 9216, 9216, 1536, 2090.67, 19267584, 19267584, 1204224, 1204224, 1, 1, 6, 2, 4, 6, 5, 269, 269, 269, 896, 16
MobileNetV2,Bottleneck2_1_2,3072,84717,45275.5,121.17,2.67629e+06,1.92046e+10,122915,14,14.25,14,1,14,398240,54,1,1,1204224,864,2.26727e+11,10265184,3754.91,572.314,1373.93,117213,10265184, 1215888, 1215888, 1204224, 8.44254, 10265184, 864, 864, 864, 11881, 10265184, 10265184, 1161600, 1140576, 1, 32, 33, 32, 31, 31, 31, 7057, 7057, 7057, 32, 8.44611
MobileNetV2,Bottleneck2_1_3,3072,100606,21385.3,287.273,1.34332e+07,1.92046e+10,121509,6,5.57143,6,1,6,138240,6,1,1,301056,9216,1.35146e+12,28901376,3754.91,63.5904,476.928,117213,28901376, 559104, 559104, 301056, 51.6923, 28901376, 9216, 9216, 9216, 3136, 28901376, 28901376, 301056, 301056, 1, 2, 16, 13, 7, 7, 7, 7185, 7185, 7185, 288, 48
MobileNetV2,Bottleneck2_2_1,3072,100606,49938.8,287.273,5.7525e+06,1.92046e+10,121509,6,5.57143,6,1,6,138240,6,1,1,301056,9216,5.78736e+11,28901376,3754.91,63.5904,476.928,117213,28901376, 559104, 559104, 301056, 51.6923, 28901376, 9216, 9216, 9216, 3136, 28901376, 28901376, 301056, 301056, 1, 2, 16, 13, 7, 7, 7, 7185, 7185, 7185, 288, 48
MobileNetV2,Bottleneck2_2_2,3072,9756,49869,258.244,5.17844e+06,1.92046e+10,122061,160,149,160,1,160,150768,54,1,1,301056,864,5.05209e+10,2519424,3754.91,572.314,520.15,117213,2519424, 580608, 580608, 301056, 4.33929, 2519424, 864, 864, 864, 2916, 2519424, 2519424, 279936, 279936, 1, 15, 17, 15, 8, 8, 8, 325, 325, 325, 648, 4.5
MobileNetV2,Bottleneck2_2_3,3072,19238,10581.5,375.577,3.54938e+07,1.92046e+10,121132,46,46.9167,46,1,46,29056,6,1,1,301056,2304,6.82829e+11,7225344,3754.91,63.5904,100.243,117213,7225344, 301056, 301056, 301056, 24, 7225344, 2304, 2304, 2304, 3136, 7225344, 7225344, 75264, 903168, 1, 2, 2, 2, 4, 4, 4, 229, 229, 229, 384, 24
MobileNetV2,Bottleneck3_1_1,3072,89377,25647.3,121.262,4.72805e+06,1.92046e+10,121066,30,30.311,30,1,30,10000,6,1,1,75264,3456,4.22579e+11,10838016,3754.91,63.5904,34.5,117213,10838016, 563840, 563840, 75264, 19.2218, 10838016, 3456, 3456, 3456, 3136, 10838016, 10838016, 451584, 2709504, 1, 1, 1, 1, 2, 2, 2, 133, 133, 133, 126, 18
