Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
MobileNetV2,Bottleneck3_1_3,3080,352905,6980.75,46.0663,6.59905e+06,1.92671e+10,121516,6,0.357143,6,1,6,45792,6,1,1,112896,20736,2.32884e+12,16257024,3764.68,63.756,157.982,117529,16257024, 112896, 112896, 112896, 144, 16257024, 20736, 20736, 20736, 784, 16257024, 16257024, 112896, 98784, 1, 1, 7, 1, 1, 1, 1, 3601, 3601, 3601, 48, 144
MobileNetV2,Bottleneck3_2_1,3080,352905,26745.3,46.0663,1.72241e+06,1.92671e+10,121516,6,0.357143,6,1,6,45792,6,1,1,112896,20736,6.07846e+11,16257024,3764.68,63.756,157.982,117529,16257024, 112896, 112896, 112896, 144, 16257024, 20736, 20736, 20736, 784, 16257024, 16257024, 112896, 98784, 1, 1, 7, 1, 1, 1, 1, 3601, 3601, 3601, 48, 144
MobileNetV2,Bottleneck3_2_2,3080,73021,26611.4,11.9979,450855,1.92671e+10,122058,1,1.5,1,1,1,55224,54,1,1,112896,1296,3.29219e+10,876096,3764.68,573.804,190.523,117529,876096, 120960, 120960, 112896, 7.24286, 876096, 2268, 2268, 1296, 386.286, 876096, 876096, 97344, 97344, 1, 5, 5, 5, 4, 4, 4, 9127, 9127, 9127, 12, 7.09091
MobileNetV2,Bottleneck3_2_3,3080,352905,2968.5,46.0663,1.55183e+07,1.92671e+10,121516,6,0.357143,6,1,6,45792,6,1,1,112896,20736,5.4765e+12,16257024,3764.68,63.756,157.982,117529,16257024, 112896, 112896, 112896, 144, 16257024, 20736, 20736, 20736, 784, 16257024, 16257024, 112896, 98784, 1, 1, 7, 1, 1, 1, 1, 3601, 3601, 3601, 48, 144
MobileNetV2,Bottleneck3_2_Residual,3080,9429,26629.4,11.9733,449626,1.92671e+10,122137,12,12,12,1,12,225936,6,1,1,112896,144,4.23952e+09,112896,3764.68,63.756,779.479,117529,112896, 112896, 112896, 112896, 1, 112896, 144, 144, 144, 784, 112896, 112896, 112896, 112896, 1, 19, 19, 19, 18, 18, 18, 4705, 4705, 4705, 12, 0.998726
MobileNetV2,Bottleneck3_3_1,3080,352905,1784.97,46.0663,2.58079e+07,1.92671e+10,121516,6,0.357143,6,1,6,45792,6,1,1,112896,20736,9.10775e+12,16257024,3764.68,63.756,157.982,117529,16257024, 112896, 112896, 112896, 144, 16257024, 20736, 20736, 20736, 784, 16257024, 16257024, 112896, 98784, 1, 1, 7, 1, 1, 1, 1, 3601, 3601, 3601, 48, 144
MobileNetV2,Bottleneck3_3_2,3080,73021,26611.4,11.9979,450855,1.92671e+10,122058,1,1.5,1,1,1,55224,54,1,1,112896,1296,3.29219e+10,876096,3764.68,573.804,190.523,117529,876096, 120960, 120960, 112896, 7.24286, 876096, 2268, 2268, 1296, 386.286, 876096, 876096, 97344, 97344, 1, 5, 5, 5, 4, 4, 4, 9127, 9127, 9127, 12, 7.09091
MobileNetV2,Bottleneck3_3_3,3080,76047,2488.15,47.5058,1.90928e+07,1.92671e+10,121617,1,1.25,1,1,1,75072,6,1,1,112896,4608,1.45195e+12,3612672,3764.68,63.756,258.998,117529,3612672, 112896, 112896, 112896, 32, 3612672, 4608, 4608, 4608, 784, 3612672, 3612672, 25088, 18816, 1, 9, 11, 9, 2, 2, 2, 19009, 19009, 19009, 48, 32
MobileNetV2,Bottleneck4_1_1,3080,23521,10792.1,204.791,1.89761e+07,1.92671e+10,121399,48,48,48,1,48,11840,6,1,1,25088,6144,4.46336e+11,4816896,3764.68,63.756,40.848,117529,4816896, 25088, 25088, 25088, 192, 4816896, 20928, 20928, 6144, 230.165, 4816896, 4816896, 150528, 1128960, 1, 1, 1, 1, 2, 2, 2, 105, 105, 105, 256, 192
MobileNetV2,Bottleneck4_1_2,3080,13209,9364.36,42.5165,4.54024e+06,1.92671e+10,121888,18,17.375,18,1,18,5808,54,1,1,150528,1728,5.99721e+10,561600,3764.68,573.804,20.0376,117529,561600, 209736, 209736, 150528, 2.67765, 561600, 19872, 19872, 1728, 28.2609, 561600, 561600, 129792, 62400, 1, 1, 1, 1, 1, 1, 1, 127, 127, 127, 24, 2.41935
MobileNetV2,Bottleneck4_1_3,3080,48449,11249.3,149.133,1.32571e+07,1.92671e+10,121609,46,46.5938,46,1,46,72888,6,1,1,37632,36864,6.42291e+11,7225344,3764.68,63.756,251.464,117529,7225344, 37632, 37632, 37632, 192, 7225344, 34596, 34596, 36864, 208.849, 7225344, 7225344, 37632, 2257920, 1, 1, 1, 1, 12, 12, 12, 757, 757, 757, 224, 100.085
MobileNetV2,Bottleneck4_2_1,3080,48449,21488,149.133,6.94029e+06,1.92671e+10,121609,46,46.5938,46,1,46,72888,6,1,1,37632,36864,3.3625e+11,7225344,3764.68,63.756,251.464,117529,7225344, 37632, 37632, 37632, 192, 7225344, 34596, 34596, 36864, 208.849, 7225344, 7225344, 37632, 2257920, 1, 1, 1, 1, 12, 12, 12, 757, 757, 757, 224, 100.085
MobileNetV2,Bottleneck4_2_2,3080,3482,11763.9,71.4624,6.07472e+06,1.92671e+10,121911,34,18.8333,34,1,34,12384,54,1,1,37632,1728,2.11522e+10,248832,3764.68,573.804,42.7248,117529,248832, 57600, 57600, 37632, 4.32, 248832, 8208, 8208, 1728, 30.3158, 248832, 248832, 27648, 27648, 1, 1, 2, 1, 1, 1, 1, 145, 145, 145, 72, 3.78947
MobileNetV2,Bottleneck4_2_3,3080,48449,10702.6,149.133,1.39342e+07,1.92671e+10,121609,46,46.5938,46,1,46,72888,6,1,1,37632,36864,6.751e+11,7225344,3764.68,63.756,251.464,117529,7225344, 37632, 37632, 37632, 192, 7225344, 34596, 34596, 36864, 208.849, 7225344, 7225344, 37632, 2257920, 1, 1, 1, 1, 12, 12, 12, 757, 757, 757, 224, 100.085
MobileNetV2,Bottleneck4_2_Residual,3080,3169,11602.3,11.875,1.02351e+06,1.92671e+10,121374,11,11.8438,11,1,11,4716,6,1,1,37632,192,3.24351e+09,37632,3764.68,63.756,16.2702,117529,37632, 19404, 19404, 37632, 1.93939, 37632, 192, 192, 192, 196, 37632, 37632, 37632, 37632, 1, 1, 1, 1, 1, 1, 1, 99, 99, 99, 12, 1.9798
MobileNetV2,Bottleneck4_3_1,3080,48449,10358.3,149.133,1.43974e+07,1.92671e+10,121609,46,46.5938,46,1,46,72888,6,1,1,37632,36864,6.97539e+11,7225344,3764.68,63.756,251.464,117529,7225344, 37632, 37632, 37632, 192, 7225344, 34596, 34596, 36864, 208.849, 7225344, 7225344, 37632, 2257920, 1, 1, 1, 1, 12, 12, 12, 757, 757, 757, 224, 100.085
MobileNetV2,Bottleneck4_3_2,3080,3482,11763.9,71.4624,6.07472e+06,1.92671e+10,121911,34,18.8333,34,1,34,12384,54,1,1,37632,1728,2.11522e+10,248832,3764.68,573.804,42.7248,117529,248832, 57600, 57600, 37632, 4.32, 248832, 8208, 8208, 1728, 30.3158, 248832, 248832, 27648, 27648, 1, 1, 2, 1, 1, 1, 1, 145, 145, 145, 72, 3.78947
MobileNetV2,Bottleneck4_3_3,3080,48449,10702.6,149.133,1.39342e+07,1.92671e+10,121609,46,46.5938,46,1,46,72888,6,1,1,37632,36864,6.751e+11,7225344,3764.68,63.756,251.464,117529,7225344, 37632, 37632, 37632, 192, 7225344, 34596, 34596, 36864, 208.849, 7225344, 7225344, 37632, 2257920, 1, 1, 1, 1, 12, 12, 12, 757, 757, 757, 224, 100.085
