Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
MobileNetV2,CONV1,60480,205185,2903.72,5.86897,2.02119e+06,2.14729e+12,3.90265e+06,1,1.94978,1,1,1,1280,6,1,1,150528,96,4.14717e+11,1204224,73924.7,1251.94,4.416,3.82747e+06,1204224, 122304, 122304, 150528, 9.84615, 1204224, 4056, 4056, 96, 296.899, 1204224, 1204224, 1605632, 401408, 1, 1, 1, 1, 1, 1, 1, 229, 229, 229, 8, 8
MobileNetV2,Bottleneck1_1_1,60480,504897,31029.5,25.4409,819894,2.14729e+12,3.90266e+06,13,11.9078,13,1,13,4480,6,1,1,401408,1024,4.13962e+11,12845056,73924.7,1251.94,15.456,3.82747e+06,12845056, 5985792, 5985792, 401408, 2.14592, 12845056, 13504, 13504, 1024, 951.204, 12845056, 12845056, 401408, 401408, 1, 1, 1, 1, 1, 1, 1, 161, 161, 161, 32, 2
MobileNetV2,Bottleneck1_1_2,60480,174270,26745.7,19.9966,747655,2.14729e+12,3.91287e+06,2,2.59091,2,1,2,61952,54,1,1,401408,288,1.30294e+11,3484800,73924.7,11267.4,213.734,3.82747e+06,3484800, 473088, 473088, 401408, 7.36607, 3484800, 288, 288, 288, 12100, 3484800, 3484800, 387200, 193600, 1, 7, 8, 7, 3, 3, 3, 7921, 7921, 7921, 20, 7.5
MobileNetV2,Bottleneck1_1_3,60480,118865,20392.4,54.0321,2.64962e+06,2.14729e+12,3.90301e+06,27,24.2188,27,1,27,106752,6,1,1,401408,512,3.14947e+11,6422528,73924.7,1251.94,368.294,3.82747e+06,6422528, 2860032, 2860032, 401408, 2.24561, 6422528, 512, 512, 512, 12544, 6422528, 6422528, 200704, 200704, 1, 1, 17, 14, 1, 1, 1, 1857, 1857, 1857, 64, 2
MobileNetV2,Bottleneck1_1_Residual,60480,3605,12857.6,55.6738,4.33002e+06,2.14729e+12,3.90316e+06,55,34.5,55,1,55,150560,6,1,1,200704,16,1.56097e+10,200704,73924.7,1251.94,519.432,3.82747e+06,200704, 125440, 125440, 200704, 1.6, 200704, 16, 16, 16, 12544, 200704, 200704, 200704, 100352, 1, 8, 17, 10, 8, 8, 8, 897, 897, 897, 56, 2
MobileNetV2,Bottleneck2_1_1,60480,1223073,6899.26,15.7534,2.28335e+06,2.14729e+12,3.90317e+06,0,0.833333,0,1,0,151552,6,1,1,200704,1536,2.7927e+12,19267584,73924.7,1251.94,522.854,3.82747e+06,19267584, 112896, 112896, 200704, 170.667, 19267584, 8704, 8704, 1536, 2213.65, 19267584, 19267584, 1204224, 1204224, 1, 1, 9, 2, 16, 16, 16, 50961, 50961, 50961, 16, 1568
MobileNetV2,Bottleneck2_1_2,60480,23256,45027.4,372.557,8.27401e+06,2.14729e+12,3.9131e+06,351,239.053,351,1,240,127836,54,1,1,1204224,864,1.9242e+11,8664192,73924.7,11267.4,441.034,3.82747e+06,8664192, 1442784, 1442784, 1204224, 6.00519, 8664192, 864, 864, 864, 10028, 8664192, 8664192, 1161600, 902520, 1, 12, 13, 12, 4, 8, 7, 109, 163, 160, 448, 6.19898
MobileNetV2,Bottleneck2_1_3,60480,2413925,17893.9,11.9728,669097,2.14729e+12,3.90526e+06,0,0,0,1,0,757248,6,1,1,301056,9216,1.61515e+12,28901376,73924.7,1251.94,2612.51,3.82747e+06,28901376, 301056, 301056, 301056, 96, 28901376, 9216, 9216, 9216, 3136, 28901376, 28901376, 301056, 301056, 1, 1, 97, 25, 24, 24, 24, 603457, 603457, 603457, 12, 3136
MobileNetV2,Bottleneck2_2_1,60480,2413925,48734.6,11.9728,245673,2.14729e+12,3.90526e+06,0,0,0,1,0,757248,6,1,1,301056,9216,5.93036e+11,28901376,73924.7,1251.94,2612.51,3.82747e+06,28901376, 301056, 301056, 301056, 96, 28901376, 9216, 9216, 9216, 3136, 28901376, 28901376, 301056, 301056, 1, 1, 97, 25, 24, 24, 24, 603457, 603457, 603457, 12, 3136
MobileNetV2,Bottleneck2_2_2,60480,10368,49305.6,243,4.92845e+06,2.14729e+12,3.91272e+06,74,54.3981,74,1,74,17310,54,1,1,301056,864,5.10981e+10,2519424,73924.7,11267.4,59.7195,3.82747e+06,2519424, 481035, 481035, 301056, 5.23751, 2519424, 864, 864, 864, 2916, 2519424, 2519424, 279936, 271188, 1, 2, 2, 2, 1, 1, 1, 82, 82, 82, 288, 5.4
