Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
MobileNetV2,CONV1,3072,16465,2524.35,73.1384,2.89732e+07,1.92046e+10,121037,24,24.3788,24,1,24,1312,6,1,1,150528,96,4.77043e+11,1204224,3754.91,63.5904,4.5264,117213,1204224, 37632, 37632, 150528, 32, 1204224, 96, 96, 96, 12544, 1204224, 1204224, 1605632, 401408, 1, 1, 1, 1, 1, 1, 1, 21, 21, 21, 96, 32
MobileNetV2,Bottleneck1_1_1,3072,64627,13923.7,198.757,1.42747e+07,1.92046e+10,121181,24,24.7857,24,1,24,43264,6,1,1,401408,1024,9.22534e+11,12845056,3754.91,63.5904,149.261,117213,12845056, 795648, 795648, 401408, 16.1441, 12845056, 11008, 11008, 1024, 1166.88, 12845056, 12845056, 401408, 1605632, 1, 1, 3, 2, 5, 5, 5, 577, 577, 577, 224, 15.7193
MobileNetV2,Bottleneck1_1_2,3072,158437,25348.3,21.9949,867704,1.92046e+10,121728,3,2.625,3,1,3,54332,54,1,1,401408,288,1.37476e+11,3484800,3754.91,572.314,187.445,117213,3484800, 421788, 421788, 401408, 8.26197, 3484800, 288, 288, 288, 12100, 3484800, 3484800, 387200, 387200, 1, 4, 5, 4, 4, 4, 4, 4951, 4951, 4951, 22, 7.5
MobileNetV2,Bottleneck1_1_3,3072,14979,10290.5,428.769,4.16663e+07,1.92046e+10,121109,27,26.9688,27,1,27,22464,6,1,1,401408,512,6.2412e+11,6422528,3754.91,63.5904,77.5008,117213,6422528, 401408, 401408, 401408, 16, 6422528, 3328, 3328, 512, 1929.85, 6422528, 6422528, 200704, 301056, 1, 2, 3, 2, 2, 2, 2, 234, 234, 234, 448, 16
MobileNetV2,Bottleneck1_1_Residual,3072,7185,12606.7,27.9338,2.21578e+06,1.92046e+10,121378,27,27.75,27,1,27,100356,6,1,1,200704,16,1.59204e+10,200704,3754.91,63.5904,346.228,117213,200704, 188160, 188160, 200704, 1.06667, 200704, 16, 16, 16, 12544, 200704, 200704, 200704, 200704, 1, 8, 9, 8, 8, 8, 8, 897, 897, 897, 28, 1.07683
MobileNetV2,Bottleneck2_1_1,3072,1091329,8126.77,17.6552,2.17247e+06,1.92046e+10,121047,2,1.10156,2,1,2,4288,6,1,1,200704,1536,2.37088e+12,19267584,3754.91,63.5904,14.7936,117213,19267584, 401184, 401184, 200704, 48.0268, 19267584, 1536, 1536, 1536, 12544, 19267584, 19267584, 1204224, 1204224, 1, 1, 1, 1, 1, 1, 1, 609, 609, 609, 24, 64
MobileNetV2,Bottleneck2_1_2,3072,32835,46508,133.146,2.86286e+06,1.92046e+10,121653,456,452.63,456,1,456,32512,54,1,1,1204224,864,9.4002e+10,4371840,3754.91,572.314,112.166,117213,4371840, 2059200, 2059200, 1204224, 2.12308, 4371840, 31968, 31968, 864, 136.757, 4371840, 4371840, 1161600, 575520, 1, 4, 5, 4, 2, 2, 2, 28, 28, 28, 608, 2.07519
MobileNetV2,Bottleneck2_1_3,3072,232472,12365.7,124.322,1.00538e+07,1.92046e+10,121410,2,2,2,1,2,109568,6,1,1,301056,9216,2.33723e+12,28901376,3754.91,63.5904,378.01,117213,28901376, 301056, 301056, 301056, 96, 28901376, 8448, 8448, 9216, 3421.09, 28901376, 28901376, 301056, 501760, 1, 6, 8, 6, 10, 10, 10, 14529, 14529, 14529, 126, 96
MobileNetV2,Bottleneck2_2_1,3072,232472,49590.1,124.322,2.50699e+06,1.92046e+10,121410,2,2,2,1,2,109568,6,1,1,301056,9216,5.82806e+11,28901376,3754.91,63.5904,378.01,117213,28901376, 301056, 301056, 301056, 96, 28901376, 8448, 8448, 9216, 3421.09, 28901376, 28901376, 301056, 501760, 1, 6, 8, 6, 10, 10, 10, 14529, 14529, 14529, 126, 96
MobileNetV2,Bottleneck2_2_2,3072,39390,48092.6,63.961,1.32996e+06,1.92046e+10,122236,8,7.16667,8,1,8,201536,54,1,1,301056,864,5.2387e+10,2519424,3754.91,572.314,695.299,117213,2519424, 188384, 188384, 301056, 13.3739, 2519424, 1440, 1440, 864, 1749.6, 2519424, 2519424, 279936, 279936, 1, 9, 18, 10, 15, 15, 15, 6562, 6562, 6562, 64, 15.4376
