Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
MobileNetV2,CONV1,3080,131825,1665.28,9.13502,5.48559e+06,1.92671e+10,121373,1,1.50893,1,1,1,4448,6,1,1,150528,96,7.23138e+11,1204224,3764.68,63.756,15.3456,117529,1204224, 37632, 37632, 150528, 32, 1204224, 96, 96, 96, 12544, 1204224, 1204224, 1605632, 200704, 1, 1, 1, 1, 1, 1, 1, 1177, 1177, 1177, 10, 32
MobileNetV2,Bottleneck1_1_1,3080,727750,7171.89,17.6504,2.46105e+06,1.92671e+10,121410,1,0.709184,1,1,1,15232,6,1,1,401408,1024,1.79103e+12,12845056,3764.68,63.756,52.5504,117529,12845056, 401408, 401408, 401408, 32, 12845056, 32064, 32064, 1024, 400.607, 12845056, 12845056, 401408, 401408, 1, 1, 2, 1, 1, 1, 1, 3713, 3713, 3713, 32, 128
MobileNetV2,Bottleneck1_1_2,3080,43609,25556,79.9101,3.12686e+06,1.92671e+10,122030,14,11.5,14,1,14,47008,54,1,1,401408,288,1.36359e+11,3484800,3764.68,573.804,162.178,117529,3484800, 500976, 500976, 401408, 6.95602, 3484800, 3312, 3312, 288, 1052.17, 3484800, 3484800, 387200, 387200, 1, 4, 5, 4, 3, 3, 3, 991, 991, 991, 80, 6.91341
MobileNetV2,Bottleneck1_1_3,3080,233602,14175.6,27.4935,1.93949e+06,1.92671e+10,121445,5,5.14844,5,1,5,25216,6,1,1,401408,512,4.53069e+11,6422528,3764.68,63.756,86.9952,117529,6422528, 401408, 401408, 401408, 16, 6422528, 400, 400, 512, 16056.3, 6422528, 6422528, 200704, 1204224, 1, 1, 2, 1, 3, 3, 3, 1825, 1825, 1825, 28, 16
MobileNetV2,Bottleneck1_1_Residual,3080,25109,12659.3,7.99331,631417,1.92671e+10,122050,8,7.75,8,1,8,200720,6,1,1,200704,16,1.58543e+10,200704,3764.68,63.756,692.484,117529,200704, 200704, 200704, 200704, 1, 200704, 24, 24, 16, 8362.67, 200704, 200704, 200704, 200704, 1, 16, 17, 16, 16, 16, 16, 6273, 6273, 6273, 8, 0.999841
MobileNetV2,Bottleneck2_1_1,3080,652485,10089.1,29.5295,2.92689e+06,1.92671e+10,121434,2,2.73469,2,1,2,22016,6,1,1,200704,1536,1.90975e+12,19267584,3764.68,63.756,75.9552,117529,19267584, 200704, 200704, 200704, 96, 19267584, 57216, 57216, 1536, 336.752, 19267584, 19267584, 1204224, 1806336, 1, 1, 1, 1, 3, 3, 3, 3329, 3329, 3329, 32, 61.44
MobileNetV2,Bottleneck2_1_2,3080,146113,45581.9,54.9457,1.20543e+06,1.92671e+10,121888,26,10.75,26,1,15,5796,54,1,1,1204224,864,1.76129e+11,8028288,3764.68,573.804,19.9962,117529,8028288, 1397994, 1397994, 1204224, 5.74272, 8028288, 8559, 8559, 864, 937.994, 8028288, 8028288, 1161600, 1056864, 1, 1, 1, 1, 1, 1, 1, 55, 163, 152, 19, 6.21706
MobileNetV2,Bottleneck2_1_3,3080,604914,19466.6,47.7777,2.45435e+06,1.92671e+10,121448,1,1.44643,1,1,1,26112,6,1,1,301056,9216,1.48467e+12,28901376,3764.68,63.756,90.0864,117529,28901376, 301056, 301056, 301056, 96, 28901376, 7488, 7488, 9216, 3859.69, 28901376, 28901376, 301056, 903168, 1, 1, 2, 1, 3, 3, 3, 5401, 5401, 5401, 48, 96
MobileNetV2,Bottleneck2_2_1,3080,604914,51303.7,47.7777,931271,1.92671e+10,121448,1,1.44643,1,1,1,26112,6,1,1,301056,9216,5.63339e+11,28901376,3764.68,63.756,90.0864,117529,28901376, 301056, 301056, 301056, 96, 28901376, 7488, 7488, 9216, 3859.69, 28901376, 28901376, 301056, 903168, 1, 1, 2, 1, 3, 3, 3, 5401, 5401, 5401, 48, 96
MobileNetV2,Bottleneck2_2_2,3080,20439,48940.2,123.266,2.5187e+06,1.92671e+10,122470,24,18.8889,24,1,24,174528,54,1,1,301056,864,5.14797e+10,2519424,3764.68,573.804,602.122,117529,2519424, 387072, 387072, 301056, 6.50893, 2519424, 864, 864, 864, 2916, 2519424, 2519424, 279936, 279936, 1, 14, 18, 14, 10, 10, 10, 2269, 2269, 2269, 123.429, 6.75
MobileNetV2,Bottleneck2_2_3,3080,457074,7027.12,15.8078,2.24955e+06,1.92671e+10,121389,0,0.642857,0,1,0,9024,6,1,1,301056,2304,1.02821e+12,7225344,3764.68,63.756,31.1328,117529,7225344, 301056, 301056, 301056, 24, 7225344, 17280, 17280, 2304, 418.133, 7225344, 7225344, 75264, 75264, 1, 1, 2, 1, 1, 1, 1, 4081, 4081, 4081, 16, 24
MobileNetV2,Bottleneck3_1_1,3080,390961,14863.8,27.7215,1.86504e+06,1.92671e+10,121474,1,1.66667,1,1,1,33664,6,1,1,75264,3456,7.29157e+11,10838016,3764.68,63.756,116.141,117529,10838016, 75264, 75264, 75264, 144, 10838016, 3456, 3456, 3456, 3136, 10838016, 10838016, 451584, 677376, 1, 1, 1, 1, 5, 5, 5, 8145, 8145, 8145, 28, 144
MobileNetV2,Bottleneck3_1_2,3080,38836,22067.6,72.5154,3.28606e+06,1.92671e+10,122318,15,12,15,1,15,130464,54,1,1,451584,1296,1.27617e+11,2816208,3764.68,573.804,450.101,117529,2816208, 467856, 467856, 451584, 6.01939, 2816208, 1296, 1296, 1296, 2173, 2816208, 2816208, 419904, 312912, 1, 11, 14, 11, 5, 8, 7, 2773, 2773, 2773, 26.1818, 4.18421
MobileNetV2,Bottleneck3_1_3,3080,176457,6100.81,92.1302,1.51013e+07,1.92671e+10,121531,6,0.714286,6,1,6,50112,6,1,1,112896,20736,2.66473e+12,16257024,3764.68,63.756,172.886,117529,16257024, 112896, 112896, 112896, 144, 16257024, 20736, 20736, 20736, 784, 16257024, 16257024, 112896, 98784, 1, 1, 8, 1, 1, 1, 1, 3601, 3601, 3601, 96, 144
