Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
MobileNetV2,CONV1,46816,14465,2416.97,83.2509,3.44444e+07,1.33617e+12,2.74071e+06,26,26.0078,26,1,26,6660,6,1,1,150528,96,4.98238e+11,1204224,57223.2,969.091,22.977,2.6825e+06,1204224, 37632, 37632, 150528, 32, 1204224, 96, 96, 96, 12544, 1204224, 1204224, 1605632, 376320, 1, 1, 1, 1, 1, 1, 1, 113, 113, 113, 112, 32
MobileNetV2,Bottleneck1_1_1,46816,401733,18210.8,31.9741,1.75578e+06,1.33617e+12,2.74142e+06,7,7.375,7,1,7,213504,6,1,1,401408,1024,7.05353e+11,12845056,57223.2,969.091,736.589,2.6825e+06,12845056, 401408, 401408, 401408, 32, 12845056, 1920, 1920, 1024, 6690.13, 12845056, 12845056, 401408, 3010560, 1, 4, 5, 4, 30, 30, 30, 12554, 12554, 12554, 32, 32
MobileNetV2,Bottleneck1_1_2,46816,3484831,25105.3,0.999991,39831.9,1.33617e+12,2.74874e+06,0,0.0909091,0,1,0,85952,54,1,1,401408,288,1.38808e+11,3484800,57223.2,8721.82,296.534,2.6825e+06,3484800, 401408, 401408, 401408, 8.68144, 3484800, 288, 288, 288, 12100, 3484800, 3484800, 387200, 387200, 1, 6, 9, 6, 6, 6, 6, 158401, 158401, 158401, 1, 8.83929
MobileNetV2,Bottleneck1_1_3,46816,804667,12418.3,7.9816,642729,1.33617e+12,2.74084e+06,0,0.857143,0,1,0,43264,6,1,1,401408,512,5.17183e+11,6422528,57223.2,969.091,149.261,2.6825e+06,6422528, 401408, 401408, 401408, 16, 6422528, 512, 512, 512, 12544, 6422528, 6422528, 200704, 802816, 1, 3, 3, 3, 5, 5, 5, 14369, 14369, 14369, 8, 16
MobileNetV2,Bottleneck1_1_Residual,46816,50211,12659.3,3.99721,315753,1.33617e+12,2.74207e+06,4,3.5,4,1,4,401440,6,1,1,200704,16,1.58543e+10,200704,57223.2,969.091,1384.97,2.6825e+06,200704, 200704, 200704, 200704, 1, 200704, 16, 16, 16, 12544, 200704, 200704, 200704, 200704, 1, 32, 33, 32, 32, 32, 32, 25089, 25089, 25089, 4, 1
MobileNetV2,Bottleneck2_1_1,46816,689681,7273.5,27.937,3.84092e+06,1.33617e+12,2.74191e+06,1,1.625,1,1,1,354304,6,1,1,200704,1536,2.64901e+12,19267584,57223.2,969.091,1222.35,2.6825e+06,19267584, 200704, 200704, 200704, 96, 19267584, 1536, 1536, 1536, 12544, 19267584, 19267584, 1204224, 1204224, 1, 8, 9, 8, 48, 48, 48, 86209, 86209, 86209, 28, 96
MobileNetV2,Bottleneck2_1_2,46816,1354838,45113,7.0206,155623,1.33617e+12,2.74866e+06,2,1.025,2,1,2,64248,54,1,1,1204224,864,2.10844e+11,9511776,57223.2,8721.82,221.656,2.6825e+06,9511776, 1301148, 1301148, 1204224, 7.3103, 9511776, 864, 864, 864, 11009, 9511776, 9511776, 1161600, 1056864, 1, 6, 6, 6, 1, 5, 4, 6049, 18145, 16935, 2, 1.45982
MobileNetV2,Bottleneck2_1_3,46816,516675,22367,55.9372,2.50088e+06,1.33617e+12,2.74085e+06,2,2.01562,2,1,2,46944,6,1,1,301056,9216,1.29214e+12,28901376,57223.2,969.091,161.957,2.6825e+06,28901376, 301056, 301056, 301056, 96, 28901376, 8352, 8352, 9216, 3460.41, 28901376, 28901376, 301056, 1053696, 1, 2, 3, 2, 6, 6, 6, 8073, 8073, 8073, 56, 96
MobileNetV2,Bottleneck2_2_1,46816,516675,51952.1,55.9372,1.07671e+06,1.33617e+12,2.74085e+06,2,2.01562,2,1,2,46944,6,1,1,301056,9216,5.56308e+11,28901376,57223.2,969.091,161.957,2.6825e+06,28901376, 301056, 301056, 301056, 96, 28901376, 8352, 8352, 9216, 3460.41, 28901376, 28901376, 301056, 1053696, 1, 2, 3, 2, 6, 6, 6, 8073, 8073, 8073, 56, 96
MobileNetV2,Bottleneck2_2_2,46816,419927,48802.5,5.99967,122938,1.33617e+12,2.74899e+06,0,0.625,0,1,0,158904,54,1,1,301056,864,5.16249e+10,2519424,57223.2,8721.82,548.219,2.6825e+06,2519424, 354816, 354816, 301056, 7.10065, 2519424, 864, 864, 864, 2916, 2519424, 2519424, 279936, 279936, 1, 15, 15, 15, 12, 12, 12, 52489, 52489, 52489, 6, 7.0834
